Pos  Fibonacci  Runtime
   0          1        0
   1          1        0
   2          2        1
   3          3        2
   4          5        4
   5          8        7
   6         13       12
   7         21       20
   8         34       33
   9         55       54
  10         89       88
  11        144      143
  12        233      232
  13        377      376
  14        610      609
  15        987      986
  16       1597     1596
  17       2584     2583
  18       4181     4180
  19       6765     6764
  20      10946    10945
  21      17711    17710
  22      28657    28656
  23      46368    46367
  24      75025    75024
  25     121393   121392
  26     196418   196417
  27     317811   317810
  28     514229   514228
  29     832040   832039
  30    1346269  1346268
  31    2178309  2178308
  32    3524578  3524577
  33    5702887  5702886
  34    9227465  9227464
  35   14930352  14930351
  36   24157817  24157816
  37   39088169  39088168
  38   63245986  63245985
  39  102334155  102334154
Execution time for n=40: 0.0016689300537109375 milliseconds
  40  165580141  165580140
  41  267914296  267914295
  42  433494437  433494436
  43  701408733  701408732
  44  1134903170  1134903169
  45  1836311903  1836311902
  46  2971215073  2971215072
  47  4807526976  4807526975
  48  7778742049  7778742048
  49  12586269025  12586269024
  50  20365011074  20365011073
